number,igsn,traintext,iSampleMaterial
88457,NEON01ALV,NEO | STER.20190808.R3883.F [ 401725 ] | Biology>Macrobiology | Onychomys leucogaster (Wied-Neuwied_ 1841) | Specimen | | collection: Manual. PreservedSpecimen | Fecal sample collected from a small mammal for physiological analyses,mat:organicmaterial
88511,NEON02A02,NEO | TALL.20190405.R1575.H [ 479657 ] | Biology>Macrobiology | Peromyscus leucopus (Rafinesque_ 1818) | Specimen | | collection: Manual. PreservedSpecimen | Hair sample collected from a small mammal for potential isotopic analyses,mat:organicmaterial
88531,NEON026YY,NEO | TREE.20190708.L5578.H [ 462765 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
88620,NEON03FCF,NEO | UKFS.20200826.R4545.H [ 797704 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus leucopus (Rafinesque_ 1818),mat:organicmaterial
88819,SSH0001LU,SSH | plnq-A_ <150 um | shale soil | Other | bulk soil | A horizon sample_ ground to <150 um | Ridgetop | Plynlimon Forest_ Wales_ UK_ forested ridgetop | Susquehanna Shale Hills Critical Zone Observatory (CZO) | CZO Shale Transect,mat:soil
88827,WDC0000M2,WDC | WCC6-12 | Other | 3.8MG/L AT 1M DEPTH_ 2.3MG/L AT 10M_ 1.0MG/L AT 20M DEPTH | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000137 | WCC6 | platform: Ship_ Ferrel,mat:particulate
88830,WDC0000M8,WDC | WCC6-18 | Other | 1.8MG/L AT 1M DEPTH_ 2.0MG/L AT 10M_ .6MG/L AT 20M DEPTH. | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000143 | WCC6 | platform: Ship_ Ferrel,mat:particulate
88884,ODP011MLK,"ODP | Section Half 10-89*-4R-4-A | Core Section Half | DSDP Leg 10 | platform: Ship, Glomar Challenger",mat:rockorsediment
88930,IEAEM0098,IEAEM | P-3-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
88933,IEAEM009M,IEAEM | P-6-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
88935,IEAEM00AE,IEAEM | P-8-water | | collection: grab. 2 liter bottle submerged upside down and then righted and allowed to fill. Subsamples for different analyses were split from this larger bottle. | water sample from ~0.5m below water surface,mat:liquidwater
88966,ODP011N5U,"ODP | Section Half 10-91*-22R-1-A | Core Section Half | DSDP Leg 10 | platform: Ship, Glomar Challenger",mat:rockorsediment
89060,IENWUC332,IENWU | 20160628_WLW3_SO_Archive12 | Pristine Prairie | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Soil characterization,mat:soil
89061,IENWUC333,IENWU | 20160628_WLW3_SO_Archive13 | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
89075,IENWUC467,IENWU | 20160628_WLW4_SO_Archive17 | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
89090,IENWUC657,IENWU | 20160629_WLS4_SO_Archive12 | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
89152,IENWUC984,IENWU | 20160630_WLW9_SO_Archive14 | Core Section | collection: Manual. hand sampled from 10-cm sections of soil cores; dry iced immediately | 150 | g | Prairie | Gensburg-Markham-Prairie | Pristine Prairie | Soil characterization,mat:soil
89190,IEPMOA196,IEPMO | GRC-02-196 | Specimen | | collection: dredging. small dredge | 2 | cm | Biology>Macrobiology>Coral | specimen of Caryophyllia | Iselin Bank (Ross Sea) | GRC-02-196 | xxxII Antarctic Expedition | platform: ship_ R/V Italica,mat:biogenicnonorganicmaterial
89276,NEON00WWS,NEO | BART_018.20170726.PLECIN.01 [ 262181 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch and sent to archive facility | Plethodon cinereus (Green_ 1818),mat:organicmaterial
89328,NEON0083P,NEO | BART_068.20170614.PTECOR1.01 [ 276072 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus coracinus (Newman_ 1838),mat:organicmaterial
89453,NEON00WVI,NEO | HARV_022.20170913.PLECIN.01 [ 262135 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch and sent to archive facility | Plethodon cinereus (Green_ 1818),mat:organicmaterial
89485,NEON02904,NEO | KONA.20190731.L4377.H [ 472754 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89495,NEON0290F,NEO | KONA.20190801.R4388.H [ 472765 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89525,NEON03FKI,NEO | KONA.20200622.R4442.H [ 797995 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89538,NEON03FJM,NEO | KONA.20200623.L4507.H [ 797963 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89635,NEON03F8E,NEO | KONA.20201019.R5399.H [ 797559 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89692,NEON0292U,NEO | KONZ.20190626.R4241.H [ 472852 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89702,NEON0293G,NEO | KONZ.20190723.R4299.H [ 472874 ] | Biology>Macrobiology | Peromyscus maniculatus (Wagner_ 1845) | Specimen | | collection: Manual. PreservedSpecimen | Hair sample collected from a small mammal for potential isotopic analyses,mat:organicmaterial
89814,NEON006W2,NEO | KONZ_005.20160809.PASCAL.01 [ 245942 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pasimachus californicus Chaudoir_ 1850,mat:organicmaterial
89863,NEON02EHA,NEO | MLBS.20190709.R2764.H [ 730818 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
89871,ODP011ULY,"ODP | SubSection 13-132*-12R-3-1C (0-150 cm.) | Core Sub-Piece | Core | DSDP Leg 13 | platform: Ship, Glomar Challenger",mat:rockorsediment
89946,NEON006OV,NEO | MOAB_005.20160906.CICPUN.01 [ 243181 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Cicindela punctulata G.A.Olivier_ 1790,mat:organicmaterial
90011,ODP011VXT,"ODP | Section Half 14-140*-4R-1-A | Core Section Half | DSDP Leg 14 | platform: Ship, Glomar Challenger",mat:rockorsediment
90024,NEON0069S,NEO | OAES_003.20170823.PASCAL.01 [ 238693 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pasimachus californicus Chaudoir_ 1850,mat:organicmaterial
90061,NEON028P8,NEO | ONAQ.20190603.R3469.H [ 472360 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90088,NEON028Q5,NEO | ONAQ.20190927.R4009.H [ 472393 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90120,NEON0191L,NEO | OSBS.20180411.R0922.F [ 306541 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Fecal sample collected from a small mammal and frozen at -80 degrees Celsius | Podomys floridanus (Chapman_ 1889),mat:organicmaterial
90428,NEON026Z3,NEO | TREE.20190710.R5583.H [ 462770 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90439,NEON026ZR,NEO | TREE.20190808.R5359.H [ 462794 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90471,NEON00WUF,NEO | UNDE_001.20160621.PLECIN.01 [ 237171 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch and sent to archive facility | Plethodon cinereus (Green_ 1818),mat:organicmaterial
90492,NEON028SZ,NEO | YELL.20190710.R0221.H [ 472495 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90538,NEON028RC,NEO | YELL.20190807.R0983.H [ 472436 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Peromyscus maniculatus (Wagner_ 1845),mat:organicmaterial
90611,ODP0122LE,"ODP | Section Half 16-161*-1R-0-W | Core Section Half | DSDP Leg 16 | platform: Ship, Glomar Challenger",mat:rockorsediment
90702,ODP0123K5,"ODP | Section Half 16-163*-21R-4-A | Core Section Half | DSDP Leg 16 | platform: Ship, Glomar Challenger",mat:rockorsediment
90730,PRR008110,PRR | PRR-8110 | Rock>Igneous | Inclusion | | 4 samples of honey yellow & green garnets from calc-silicate inclusion zone about 10' below station. Appears to be lining joints.   4 pieces + 1 unweighed vial of powder | Clinton Spur,mat:rock
90798,UGS000112,UGS | Bybell-001227 | | geologicage: Oligocene Ashley | back of Trailwood Trailer Park_ NE of powerline in cleared area surrounded by strip mine spoils_ NE 1/4 of quad | Trailwood Trailer Park (Mac's whale locality) | Macrofossils,mat:rock
90806,WDC0000MA,WDC | WCC6-20 | Other | 3.6MG/L A 1M_ 2.0MG/L AT 10M DEPTH. 2.6MG/L AT 25M DEPTH | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000145 | WCC6 | platform: Ship_ Ferrel,mat:particulate
90951,GMY000073,GMY | TN182_37_003 | Rock>Igneous>Volcanic>Mafic | lava_ basalt | | 0.4 | kg | fresh lava | agenumeric: 0-2 Ma | volcanic cone | Clean Science | flank of volcanic cone | North of Amchitka Island | TN182 | platform: Ship_ Thompson,mat:rock
90984,IEAMB01NW,IEAMB | D178-R28 | | Rock>Igneous>Volcanic | submarine volcano | Taney Seamount C | basaltic lava | California Seamounts 2084 | platform: Ship_ R/V Western Flyer | launch: ROV Doc Ricketts_ 2 | D178 | Electron microprobe analysis,mat:rock
90985,ODP0126EQ,"ODP | Section 17-165A-2R-1 | Core Section | DSDP Leg 17 | platform: Ship, Glomar Challenger",mat:rockorsediment
91060,IEIND0650,IEIND | P47-41 | | Rock>Sedimentary>Carbonate | three pieces | geologicage: Mississippian Salamonie Dolomite; Laurel Member | 4' from quarry bb. | Independent Stone Co. | Limestone | Survey_ Limestone Quarries of Southern Indiana,mat:rock
91262,NEON0070R,NEO | BLAN_001.20170523.PTETRI1.01 [ 246948 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Pterostichus trinarius (Casey_ 1918),mat:organicmaterial
91292,NEON00XSS,NEO | CLBJ_032.S.20160831.GASOLI.01 [ 399812 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of herptiles collected as bycatch from a beetle trap | Gastrophryne olivacea (Hallowell_ 1856),mat:organicmaterial
91307,NEON006PX,NEO | GRSM_001.20161004.CYCSIG.01 [ 243404 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Cyclotrachelus sigillatus (Say_ 1823),mat:organicmaterial
91563,NEON029JU,NEO | SRER.20190704.491703.H [ 474345 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Chaetodipus baileyi (Merriam_ 1894),mat:organicmaterial
91621,NEON02GZD,NEO | STER_028.20190904.HARPEN.01 [ 737192 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Subsample of Carabid adults collected and sent to archive facility | Harpalus pensylvanicus (Degeer_ 1774),mat:organicmaterial
91633,NHB0062J5,NHB | NMNH 114369-1 (PET) | | Rock>Igneous | Volcano | Kohala | From Table 2 of Jackson et al. (1982) | 'Count 65KOHA is in the upper Kohala trachyte_ 5.9 to 6.1 miles from Kawaihai junction' (Jackson et al._ 1982_ p. 1) | Dunite,mat:rock
91713,PRR002571,PRR | PRR-02571 | | Rock>Igneous>Plutonic>Mafic | Era: Mesozoic; Period: Cretaceous;  |  | Diorite_ gabbro_ metasediments_ dikes. Strike/dip N46 E_ 45 NW. Contact between diorite at gabbro sharp.  Old peak name: WIM East | gabbro,mat:rock
91723,PRR018145,PRR | PRR-18145 | Rock>Sedimentary | Soil | | Soil sample. W1-Nelson #1 nunatak. Pan sample collected on 25-30 degree slope on Dover Sandstone. Surface rubble for heavies. Suspect little or no morainal contamination. | Elbow Peak,mat:soil
91735,PRR048847,PRR | PRR-48847 | | 1544 | g | Rock>Sedimentary | Algal boundstone; another bioherm_ this lighter color with minor archaeocyathids and algae. Burrows in micrite. Fractures are clearly pre stylolites [polished surface] | Limestone,mat:rock
91795,WDC0000KG,WDC | WCC13-04 | Other | 10.7MG/L AT 1M_ 11.2MG/L AT 5M DEPTH_ 13.7MG/L AT 10M | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000079 | WCC13 | platform: Ship_ Ferrel,mat:particulate
91796,WDC0000KH,WDC | WCC13-05 | Other | 19.7MG/L AT 1M_ 19.4MG/L AT 5M DEPTH_ 21.3MG/L AT 10M | Original archive closed and sample discarded_ Index to Marine and Lacustrine Geological Samples record imlgs0000080 | WCC13 | platform: Ship_ Ferrel,mat:particulate
91845,DSR000AWR,DSR | MGL1208-17PC_35cm | Core Piece | collection: Coring>PistonCorer. Discrete sample from a  Core | 10 | cc | depth 35-36 cm | Testing Mechanisms of Tropical Climate Change and Variability Using New Cores from the Line Islands,mat:sediment
91954,GRO001301,GRO | SFU 20 Jun 2013 P3.8 - PES Susp Sed | | collection: PES membrane filtered. 0.22 micron pore size | Suspended Sediment | sediment rinsed from filter and freeze dried | center channel near RR bridge | Fraser River at Mission,mat:particulate
92072,MGD000ASY,MGD | 4205-B8 | | Area = base; Marker = 9;Dive sample ID = 3; Heading (deg) = 214; Sample substrate = basalt | geologicage: Not Applicable | Vent | EPR:9N:L | AT15-06 | platform: Ship_ Atlantis | launch: Not Applicable_ 6 | 4205,mat:sediment
92097,MGD0000MQ,MGD | WPBlkStuff-PP148 | | Sample description: BFR main vein n.2_ right above PP147. Sample location: Base of Sea Cliff. Outcrop relative to GPS fix: Outcrop 33m SW@200 deg. | Island | Alaska:KodiakIslands | Kodiak_Islands:Moore,mat:rock
92150,NEON028OI,NEO | BART.20190707.R6073.H [ 472191 ] | Specimen | | collection: Manual. PreservedSpecimen | Biology>Macrobiology | Hair sample collected from a small mammal for potential isotopic analyses | Napaeozapus insignis (Miller_ 1891),mat:organicmaterial
